language,week,visits
ar-ye,5,105
ar-ye,9,111
ar-ye,10,1233
ar-ye,11,1603
ar-ye,12,1877
ar-ye,13,1892
ar-ye,14,1510
ar-ye,15,1767
ar-ye,16,1821
ar-ye,17,1796
ar-ye,18,1513
ar-ye,19,1065
ar-ye,20,1061
ar-ye,21,804
ar-ye,22,561
ar-ye,23,506
ar-ye,24,1061
ar-ye,25,1282
ar-ye,26,1360
ar-ye,27,1295
ar-ye,28,1341
ar-ye,29,1408
ar-ye,30,1272
ar-ye,31,1277
ar-ye,32,669
ar-ye,33,918
ar-ye,34,1059
ar-ye,35,1149
ar-ye,36,1251
ar-ye,37,1605
ar-ye,38,1641
ar-ye,39,1739
ar-ye,40,2041
ar-ye,41,1962
ar-ye,42,1994
ar-ye,43,2047
ar-ye,44,2113
ar-ye,45,2046
ar-ye,46,1925
ar-ye,47,1900
ar-ye,48,1884
ar-ye,49,1869
ar-ye,50,1847
ar-ye,51,1820
ar-ye,52,1626
az-az,12,110
az-az,13,208
az-az,14,105
az-az,17,101
az-az,18,102
az-az,19,229
az-az,21,104
az-az,24,102
az-az,35,105
az-az,36,109
az-az,38,306
az-az,39,562
az-az,40,868
az-az,41,1024
az-az,42,976
az-az,43,1056
az-az,44,1124
az-az,45,971
az-az,46,1060
az-az,47,1102
az-az,48,1077
az-az,49,1019
az-az,50,1050
az-az,51,916
az-az,52,931
bg,1,782
bg,2,1206
bg,3,1248
bg,4,1241
bg,5,1225
bg,6,1216
bg,7,1305
bg,8,1326
bg,9,1110
bg,10,4339
bg,11,6201
bg,12,6776
bg,13,6584
bg,14,6231
bg,15,6961
bg,16,6174
bg,17,5044
bg,18,5059
bg,19,5690
bg,20,5987
bg,21,5429
bg,22,5639
bg,23,5568
bg,24,5382
bg,25,5189
bg,26,5126
bg,27,4752
bg,28,5041
bg,29,4741
bg,30,4660
bg,31,4646
bg,32,4818
bg,33,4692
bg,34,4929
bg,35,4663
bg,36,4462
bg,37,4800
bg,38,4908
bg,39,4864
bg,40,5518
bg,41,5410
bg,42,5570
bg,43,5848
bg,44,5881
bg,45,6183
bg,46,6366
bg,47,6280
bg,48,6220
bg,49,5889
bg,50,5648
bg,51,4638
bg,52,3609
bg-bg,1,2011
bg-bg,2,2928
bg-bg,3,2868
bg-bg,4,3110
bg-bg,5,2856
bg-bg,6,2653
bg-bg,7,3210
bg-bg,8,3022
bg-bg,9,2562
bg-bg,10,10473
bg-bg,11,14372
bg-bg,12,15732
bg-bg,13,15580
bg-bg,14,15632
bg-bg,15,16011
bg-bg,16,14546
bg-bg,17,12430
bg-bg,18,13208
bg-bg,19,13746
bg-bg,20,14505
bg-bg,21,13203
bg-bg,22,14046
bg-bg,23,13846
bg-bg,24,13531
bg-bg,25,13006
bg-bg,26,12456
bg-bg,27,12194
bg-bg,28,12208
bg-bg,29,12192
bg-bg,30,11710
bg-bg,31,11410
bg-bg,32,11222
bg-bg,33,11576
bg-bg,34,12536
bg-bg,35,12324
bg-bg,36,11224
bg-bg,37,12027
bg-bg,38,12134
bg-bg,39,12678
bg-bg,40,13821
bg-bg,41,14279
bg-bg,42,15048
bg-bg,43,15372
bg-bg,44,15063
bg-bg,45,15561
bg-bg,46,15831
bg-bg,47,16473
bg-bg,48,15775
bg-bg,49,14971
bg-bg,50,15432
bg-bg,51,12472
bg-bg,52,9829
bn,10,471
bn,11,872
bn,12,985
bn,13,1015
bn,14,770
bn,15,943
bn,16,914
bn,17,949
bn,18,856
bn,19,707
bn,20,559
bn,21,582
bn,22,325
bn,23,507
bn,24,1008
bn,25,937
bn,26,685
bn,27,669
bn,28,216
bn,29,458
bn,30,976
bn,31,931
bn,32,921
bn,33,584
bn,34,592
bn,35,650
bn,36,830
bn,37,846
bn,38,585
bn,39,853
bn,40,541
bn,41,694
bn,42,831
bn,43,924
bn,44,1054
bn,45,1056
bn,46,1081
bn,47,859
bn,48,1050
bn,49,972
bn,50,812
bn,51,602
bn,52,557
bn-bd,10,429
bn-bd,11,762
bn-bd,12,612
bn-bd,13,884
bn-bd,14,588
bn-bd,15,480
bn-bd,16,707
bn-bd,17,588
bn-bd,18,440
bn-bd,19,208
bn-bd,23,683
bn-bd,24,1284
bn-bd,25,952
bn-bd,26,579
bn-bd,27,428
bn-bd,28,433
bn-bd,29,704
bn-bd,30,876
bn-bd,31,805
bn-bd,32,897
bn-bd,33,961
bn-bd,34,831
bn-bd,35,919
bn-bd,36,884
bn-bd,37,959
bn-bd,38,832
bn-bd,39,967
bn-bd,40,783
bn-bd,41,872
bn-bd,42,961
bn-bd,43,1419
bn-bd,44,1422
bn-bd,45,1459
bn-bd,46,1540
bn-bd,47,1315
bn-bd,48,1368
bn-bd,49,1447
bn-bd,50,558
bn-in,10,337
bn-in,11,591
bn-in,12,962
bn-in,13,985
bn-in,14,770
bn-in,15,893
bn-in,16,1003
bn-in,17,1024
bn-in,18,885
bn-in,19,838
bn-in,20,708
bn-in,21,719
bn-in,22,705
bn-in,23,917
bn-in,24,1085
bn-in,25,1106
bn-in,26,1109
bn-in,27,1067
bn-in,28,968
bn-in,29,1088
bn-in,30,1178
bn-in,31,1297
bn-in,32,1198
bn-in,33,1031
bn-in,34,846
bn-in,35,883
bn-in,36,855
bn-in,37,959
bn-in,38,937
bn-in,39,346
bn-in,41,614
bn-in,42,426
bn-in,43,347
bn-in,44,834
bn-in,45,791
bn-in,46,879
bn-in,47,706
bn-in,48,636
bn-in,49,876
bn-in,50,472
bn-in,51,326
bn-in,52,429
bs-ba,11,111
bs-ba,12,314
bs-ba,13,440
bs-ba,14,596
bs-ba,15,501
bs-ba,16,202
bs-ba,18,104
bs-ba,19,318
bs-ba,20,542
bs-ba,21,449
bs-ba,22,320
bs-ba,24,427
bs-ba,25,443
bs-ba,26,557
bs-ba,27,490
bs-ba,28,105
bs-ba,29,317
bs-ba,30,132
bs-ba,33,105
bs-ba,34,205
bs-ba,35,332
bs-ba,36,429
bs-ba,37,347
bs-ba,38,475
bs-ba,39,646
bs-ba,40,562
bs-ba,41,528
bs-ba,42,748
bs-ba,43,621
bs-ba,44,849
bs-ba,45,946
bs-ba,46,872
bs-ba,47,858
bs-ba,48,723
bs-ba,49,738
bs-ba,50,775
bs-ba,51,688
bs-ba,52,736
c,1,1073
c,2,2811
c,3,6902
c,4,3487
c,5,2190
c,6,965
c,7,1008
c,8,3845
c,9,2150
c,10,6683
c,11,10180
c,12,5771
c,13,6960
c,14,19158
c,15,39184
c,16,37213
c,17,37710
c,18,11684
c,19,13078
c,20,17325
c,21,20010
c,22,11769
c,23,7951
c,24,10773
c,25,20526
c,26,13281
c,27,11218
c,28,14943
c,29,12169
c,30,10370
c,31,7947
c,32,6807
c,33,6620
c,34,7093
c,35,17072
c,36,19268
c,37,8211
c,38,43474
c,39,31422
c,40,14847
c,41,11176
c,42,19988
c,43,8740
c,44,22826
c,45,9962
c,46,9805
c,47,16620
c,48,18197
c,49,18215
c,50,21063
c,51,17669
c,52,19337
ca,1,11361
ca,2,17512
ca,3,18653
ca,4,18859
ca,5,18302
ca,6,18469
ca,7,18366
ca,8,18193
ca,9,16760
ca,10,23530
ca,11,28719
ca,12,31384
ca,13,30503
ca,14,29851
ca,15,29511
ca,16,21650
ca,17,24151
ca,18,25837
ca,19,29026
ca,20,28803
ca,21,27454
ca,22,25377
ca,23,24928
ca,24,23164
ca,25,22348
ca,26,19475
ca,27,21813
ca,28,22640
ca,29,22014
ca,30,21591
ca,31,21073
ca,32,19510
ca,33,18154
ca,34,22735
ca,35,24232
ca,36,22617
ca,37,20461
ca,38,23410
ca,39,23428
ca,40,26353
ca,41,27441
ca,42,21074
ca,43,25045
ca,44,24398
ca,45,26306
ca,46,26371
ca,47,28375
ca,48,27892
ca,49,25283
ca,50,27537
ca,51,23090
ca,52,15862
ca-es,1,23315
ca-es,2,34510
ca-es,3,35806
ca-es,4,35081
ca-es,5,34039
ca-es,6,34233
ca-es,7,34277
ca-es,8,34023
ca-es,9,31750
ca-es,10,45200
ca-es,11,56690
ca-es,12,59850
ca-es,13,58735
ca-es,14,60743
ca-es,15,58572
ca-es,16,44071
ca-es,17,50161
ca-es,18,55133
ca-es,19,60755
ca-es,20,59251
ca-es,21,56795
ca-es,22,53187
ca-es,23,50610
ca-es,24,47037
ca-es,25,43559
ca-es,26,38678
ca-es,27,41365
ca-es,28,41914
ca-es,29,40018
ca-es,30,39234
ca-es,31,38925
ca-es,32,36703
ca-es,33,35189
ca-es,34,42227
ca-es,35,46615
ca-es,36,43104
ca-es,37,41243
ca-es,38,48684
ca-es,39,51161
ca-es,40,58921
ca-es,41,60192
ca-es,42,48444
ca-es,43,58417
ca-es,44,56532
ca-es,45,62630
ca-es,46,62798
ca-es,47,67666
ca-es,48,66451
ca-es,49,61627
ca-es,50,66790
ca-es,51,54851
ca-es,52,39350
cs,1,1022
cs,2,1455
cs,3,1452
cs,4,1414
cs,5,1579
cs,6,1468
cs,7,1416
cs,8,1545
cs,9,1469
cs,10,10499
cs,11,14518
cs,12,15559
cs,13,15845
cs,14,15669
cs,15,16097
cs,16,12751
cs,17,14026
cs,18,13773
cs,19,13517
cs,20,13825
cs,21,13004
cs,22,12517
cs,23,11623
cs,24,11379
cs,25,10904
cs,26,10355
cs,27,9153
cs,28,10459
cs,29,10634
cs,30,9908
cs,31,10230
cs,32,10182
cs,33,10105
cs,34,10204
cs,35,10029
cs,36,10972
cs,37,11388
cs,38,11741
cs,39,12574
cs,40,12994
cs,41,13472
cs,42,13905
cs,43,13748
cs,44,12882
cs,45,14251
cs,46,13395
cs,47,14094
cs,48,13811
cs,49,13028
cs,50,12009
cs,51,9642
cs,52,5472
cs-cz,1,4742
cs-cz,2,6535
cs-cz,3,6274
cs-cz,4,6083
cs-cz,5,6450
cs-cz,6,6413
cs-cz,7,6362
cs-cz,8,7181
cs-cz,9,6561
cs-cz,10,41761
cs-cz,11,57311
cs-cz,12,60104
cs-cz,13,62559
cs-cz,14,62934
cs-cz,15,63975
cs-cz,16,52188
cs-cz,17,55404
cs-cz,18,54299
cs-cz,19,51771
cs-cz,20,53018
cs-cz,21,49153
cs-cz,22,47784
cs-cz,23,43592
cs-cz,24,41682
cs-cz,25,39729
cs-cz,26,36326
cs-cz,27,32473
cs-cz,28,37154
cs-cz,29,36404
cs-cz,30,36657
cs-cz,31,37598
cs-cz,32,37911
cs-cz,33,38221
cs-cz,34,38617
cs-cz,35,39065
cs-cz,36,42445
cs-cz,37,42574
